1301.TW,臺塑,90.00,3.10,+3.57%,49867
2330.TW,台積電,62.30,0.30,+0.48%,38159
2382.TW,廣達,55.20,-0.50,-0.90%,35853
2353.TW,宏碁,87.70,0.60,+0.69%,35486
1326.TW,臺化,88.80,2.50,+2.90%,23478
2317.TW,鴻海,118.00,-0.50,-0.42%,22547
2311.TW,日月光,26.00,0.10,+0.39%,22084
2324.TW,仁寶,38.45,0.10,+0.26%,18777
2609.TW,陽明,21.70,-0.30,-1.36%,17790
2105.TW,正新,71.80,0.40,+0.56%,16107
2891.TW,中信金,19.90,-0.05,-0.25%,15185
6116.TW,彩晶,6.15,-0.01,-0.16%,10910
3231.TW,緯創,60.10,-0.90,-1.48%,10573
4938.TW,和碩,41.55,0.90,+2.21%,10408
3189.TW,景碩,83.70,-0.60,-0.71%,9822
2408.TW,南科,18.65,0.00,0.00%,9025
911609.TW,揚子江,23.25,-0.25,-1.06%,8951
1102.TW,亞泥,32.25,0.05,+0.16%,8172
2347.TW,聯強,74.60,1.40,+1.91%,7534
3481.TW,奇美電,41.80,0.05,+0.12%,7481
1303.TW,南亞,70.00,0.90,+1.30%,7102
2890.TW,永豐金,11.55,-0.10,-0.86%,6812
2412.TW,中華電,71.70,-0.30,-0.42%,6721
2357.TW,華碩,239.00,-7.00,-2.85%,6426
2610.TW,華航,24.85,-0.35,-1.39%,6217
2884.TW,玉山金,16.00,0.05,+0.31%,6001
1444.TW,力麗,18.65,0.15,+0.81%,5936
910322.TW,康師傅,40.85,-0.35,-0.85%,5714
2474.TW,可成,82.10,-0.40,-0.48%,5587
2337.TW,旺宏,19.25,-0.05,-0.26%,5566
3311.TW,閎暉,92.80,-1.70,-1.80%,5233
3576.TW,新日光,75.10,0.30,+0.40%,5116
3519.TW,綠能,90.30,-0.70,-0.77%,4990
1312.TW,國喬,17.90,1.05,+6.23%,4877
3042.TW,晶技,56.50,0.00,0.00%,4707
2014.TW,中鴻,13.50,-0.25,-1.82%,4527
3045.TW,台灣大,67.30,0.50,+0.75%,4266
1802.TW,台玻,38.10,0.75,+2.01%,4049
1722.TW,台肥,109.00,0.00,0.00%,4017
2345.TW,智邦,22.95,-0.25,-1.08%,3685
2301.TW,光寶科,39.80,0.20,+0.51%,3625
2360.TW,致茂,82.40,3.40,+4.30%,3576
1718.TW,中纖,14.95,0.05,+0.34%,3569
2601.TW,益航,62.90,1.10,+1.78%,3500
2892.TW,第一金,20.55,0.10,+0.49%,3345
1440.TW,南紡,21.25,-0.45,-2.07%,3287
9945.TW,潤泰新,50.20,-0.30,-0.59%,3287
2204.TW,中華,25.55,-0.10,-0.39%,3213
