2882.TW,國泰金,7.34,-0.11,-1.48%,0.25
2881.TW,富邦金,+0.53%,-103364,38.00,-90163
3037.TW,欣興,393.00,-2.00,-0.51%,0.35
2618.TW,長榮航,+0.73%,-56313,31.80,-44515
3474.TW,華亞科,13.70,0.15,+1.11%,0.05
2002.TW,中鋼,+0.34%,-43738,31.25,-36732
2327.TW,國巨,18.90,-0.25,-1.31%,-0.15
3702.TW,大聯大,-1.15%,-23659,58.70,-23135
2823.TW,中壽,13.85,0.00,0.00%,-0.10
2603.TW,長榮,-0.40%,-21863,24.75,-19104
4938.TW,和碩,4.30,0.05,+1.18%,0.90
3519.TW,綠能,+2.21%,-15945,90.30,-15668
2385.TW,群光,30.75,-0.40,-1.28%,-1.20
1319.TW,東陽,-1.69%,-14921,50.00,-13974
3534.TW,雷凌,676.00,5.00,+0.75%,0.50
3514.TW,昱晶,+0.44%,-10756,88.60,-10314
2608.TW,大榮,230.00,0.00,0.00%,0.35
2912.TW,統一超,+1.31%,-8676,120.50,-8458
2911.TW,麗嬰房,61.20,-0.80,-1.29%,0.15
2376.TW,技嘉,+0.33%,-7529,29.50,-7430
1304.TW,臺聚,28.65,0.20,+0.70%,0.30
2107.TW,厚生,+1.10%,-5684,24.45,-5603
6005.TW,群益證,20.55,-0.25,-1.20%,-0.05
2331.TW,精英,-0.36%,-4904,11.45,-4770
2316.TW,楠梓電,81.50,0.90,+1.12%,0.15
2401.TW,凌陽,+0.82%,-4377,22.65,-4263
1524.TW,耿鼎,17.55,0.05,+0.29%,-0.20
2379.TW,瑞昱,-1.85%,-3833,71.90,-3782
1413.TW,宏洲,53.00,-0.20,-0.38%,-0.20
2404.TW,漢唐,-1.73%,-3677,40.40,-3575
2323.TW,中環,83.70,0.40,+0.48%,0.11
