1409.TW,新纖,16.45,0.00,0.00%,18333
1312.TW,國喬,1090,17243,17.90,1.05
1312.TW.TW,國喬,+6.23%,17502,945,16557
1402.TW,遠東新,46.90,1.30,+2.85%,12073
3481.TW,奇美電,29,12043,41.80,0.05
3481.TW.TW,奇美電,+0.12%,10051,635,9416
2474.TW,可成,82.10,-0.40,-0.48%,9032
3231.TW,緯創,1,9031,60.10,-0.90
3231.TW.TW,緯創,-1.48%,8892,4,8887
2311.TW,日月光,26.00,0.10,+0.39%,8717
1314.TW,中石化,432,8284,26.75,-0.05
1314.TW.TW,中石化,-0.19%,8621,351,8270
2854.TW,寶來證,16.35,0.00,0.00%,7403
1909.TW,榮成,1,7402,13.40,0.65
1909.TW.TW,榮成,+5.10%,6550,0,6550
1313.TW,聯成,24.20,0.00,0.00%,5997
1308.TW,亞聚,0,5997,35.30,1.35
1308.TW.TW,亞聚,+3.98%,5384,80,5304
2353.TW,宏碁,87.70,0.60,+0.69%,5085
2409.TW,友達,136,4949,30.75,0.75
2409.TW.TW,友達,+2.50%,6196,1896,4300
1504.TW,東元,19.80,0.10,+0.51%,4279
4306.TW,炎洲,1,4278,33.85,-0.45
4306.TW.TW,炎洲,-1.31%,4087,0,4087
2448.TW,晶電,98.60,-1.20,-1.20%,4414
1444.TW,力麗,507,3907,18.65,0.15
1444.TW.TW,力麗,+0.81%,6380,2489,3891
2325.TW,矽品,33.50,1.15,+3.55%,4000
1440.TW,南紡,297,3703,21.25,-0.45
1440.TW.TW,南紡,-2.07%,7305,3906,3399
1905.TW,華紙,17.65,-0.05,-0.28%,5015
1902.TW,臺紙,1750,3265,20.05,1.05
1902.TW.TW,臺紙,+5.53%,3162,0,3162
1710.TW,東聯,34.05,0.00,0.00%,10308
3519.TW,綠能,7215,3093,90.30,-0.70
3519.TW.TW,綠能,-0.77%,3181,329,2852
1227.TW,佳格,81.50,0.90,+1.12%,2689
6269.TW,台郡,160,2529,49.60,0.30
6269.TW.TW,台郡,+0.61%,3076,554,2521
3037.TW,欣興,48.55,0.35,+0.73%,3918
3189.TW,景碩,1413,2505,83.70,-0.60
3189.TW.TW,景碩,-0.71%,2640,307,2333
1310.TW,台苯,15.25,0.45,+3.04%,2200
1711.TW,永光,0,2200,37.60,0.35
1711.TW.TW,永光,+0.94%,2218,20,2198
5388.TW,中磊,28.70,-0.75,-2.55%,3305
2382.TW,廣達,1190,2115,55.20,-0.50
2382.TW.TW,廣達,-0.90%,2092,8,2084
3443.TW,創意,127.00,0.00,0.00%,2102
2847.TW,大眾銀,39,2063,7.23,-0.04
2847.TW.TW,大眾銀,-0.55%,1930,0,1930
3383.TW,新世紀,53.60,0.60,+1.13%,1839
8039.TW,台虹,50,1789,67.50,1.50
8039.TW.TW,台虹,+2.27%,2385,605,1779
3034.TW,聯詠,90.60,-0.60,-0.66%,1928
1326.TW,臺化,216,1712,88.80,2.50
1326.TW.TW,臺化,+2.90%,2767,1078,1689
3036.TW,文曄,48.45,3.15,+6.95%,1574
2618.TW,長榮航,0,1574,31.80,0.25
2618.TW.TW,長榮航,+0.79%,4374,2865,1509
1301.TW,臺塑,90.00,3.10,+3.57%,1506
3573.TW,穎台,59,1447,132.50,-1.00
3573.TW.TW,穎台,-0.75%,1445,0,1445
2357.TW,華碩,239.00,-7.00,-2.85%,1381
2473.TW,思源,1,1380,42.60,1.35
2473.TW.TW,思源,+3.27%,1518,200,1318
1704.TW,榮化,64.80,1.70,+2.69%,2284
3576.TW,新日光,971,1313,75.10,0.30
3576.TW.TW,新日光,+0.40%,1720,467,1252
3380.TW,明泰,27.55,-0.15,-0.54%,1240
1210.TW,大成,0,1240,32.85,1.85
1210.TW.TW,大成,+5.97%,1190,0,1190
3062.TW,建漢,40.80,-0.60,-1.45%,1150
3638.TW,IML,0,1150,108.50,6.00
3638.TW.TW,IML,+5.85%,1132,0,1132
