2384.TW,勝華,52.30,0.20,+0.38%,-49188
3037.TW,欣興,48.55,0.35,+0.73%,-31991
2603.TW,長榮,24.75,-0.05,-0.20%,-28574
2609.TW,陽明,21.70,-0.30,-1.36%,-25734
9911.TW,櫻花,24.85,1.10,+4.63%,-25224
3043.TW,科風,61.20,-0.80,-1.29%,-23406
3017.TW,奇鋐,33.20,-0.40,-1.19%,-22123
9945.TW,潤泰新,50.20,-0.30,-0.59%,-19126
2002.TW,中鋼,31.25,0.15,+0.48%,-18417
2823.TW,中壽,24.85,-0.10,-0.40%,-16494
3561.TW,昇陽科,77.00,0.60,+0.79%,-14538
2915.TW,潤泰全,87.70,-1.50,-1.68%,-13592
2337.TW,旺宏,19.25,-0.05,-0.26%,-12435
2201.TW,裕隆,61.60,1.10,+1.82%,-12074
3576.TW,新日光,75.10,0.30,+0.40%,-11948
2881.TW,富邦金,38.00,0.05,+0.13%,-11208
1319.TW,東陽,50.00,1.70,+3.52%,-11086
2327.TW,國巨,12.90,-0.15,-1.15%,-10436
6153.TW,嘉聯益,39.60,-0.65,-1.61%,-10080
2105.TW,正新,71.80,0.40,+0.56%,-10054
8039.TW,台虹,67.50,1.50,+2.27%,-9649
2383.TW,台光電,28.70,1.25,+4.55%,-9439
3042.TW,晶技,56.50,0.00,0.00%,-9214
2882.TW,國泰金,47.40,0.25,+0.53%,-8953
2605.TW,新興,37.65,0.15,+0.40%,-8202
3030.TW,德律,39.80,-0.15,-0.38%,-8177
5534.TW,長虹,75.20,1.30,+1.76%,-8112
1440.TW,南紡,21.25,-0.45,-2.07%,-8073
2847.TW,大眾銀,7.23,-0.04,-0.55%,-8026
2330.TW,台積電,62.30,0.30,+0.48%,-7659
2369.TW,菱生,21.20,0.35,+1.68%,-7632
9136.TW,巨騰,20.55,-0.25,-1.20%,-7536
2891.TW,中信金,19.90,-0.05,-0.25%,-7492
2014.TW,中鴻,13.50,-0.25,-1.82%,-7333
2022.TW,聚亨,7.75,-0.02,-0.26%,-7257
2406.TW,國碩,50.30,1.30,+2.65%,-7053
2412.TW,中華電,71.70,-0.30,-0.42%,-6918
2206.TW,三陽,16.80,-0.05,-0.30%,-6898
8046.TW,南電,121.50,4.50,+3.85%,-6684
3041.TW,揚智,47.65,0.05,+0.11%,-6651
6213.TW,聯茂,44.75,0.40,+0.90%,-6644
3702.TW,大聯大,58.70,0.70,+1.21%,-6574
2456.TW,奇力新,28.65,0.20,+0.70%,-6533
2812.TW,台中銀,10.30,-0.10,-0.96%,-6455
2887.TW,台新金,13.70,0.15,+1.11%,-6380
1201.TW,味全,35.50,-0.20,-0.56%,-5948
9934.TW,成霖,31.35,0.15,+0.48%,-5872
2308.TW,台達電,127.50,-2.50,-1.92%,-5738
2362.TW,藍天,68.70,0.20,+0.29%,-5492
2104.TW,中橡,31.25,-0.25,-0.79%,-5353
