2330.TW,台積電,62.30,0.30,+0.48%,110764
1301.TW,臺塑,99938,10826,90.00,3.10
1301.TW.TW,臺塑,+3.57%,70656,60889,9767
2603.TW,長榮,24.75,-0.05,-0.20%,54117
2311.TW,日月光,45023,9094,26.00,0.10
2311.TW.TW,日月光,+0.39%,70518,63252,7266
2618.TW,長榮航,31.80,0.25,+0.79%,75129
2324.TW,仁寶,68229,6900,38.45,0.10
2324.TW.TW,仁寶,+0.26%,49869,44057,5812
2382.TW,廣達,55.20,-0.50,-0.90%,48234
1902.TW,臺紙,42898,5336,20.05,1.05
1902.TW.TW,臺紙,+5.53%,27378,22285,5093
1326.TW,臺化,88.80,2.50,+2.90%,44855
2504.TW,國產,40766,4089,16.35,0.25
2504.TW.TW,國產,+1.55%,23624,19547,4077
3045.TW,台灣大,67.30,0.50,+0.75%,13854
911610.TW,聯環,9819,4035,19.05,1.20
911610.TW.TW,聯環,+6.72%,11892,7926,3966
1313.TW,聯成,24.20,0.00,0.00%,38676
1718.TW,中纖,34965,3711,14.95,0.05
1718.TW.TW,中纖,+0.34%,39842,36251,3591
2353.TW,宏碁,87.70,0.60,+0.69%,71851
3519.TW,綠能,68431,3420,90.30,-0.70
3519.TW.TW,綠能,-0.77%,16876,13488,3388
1303.TW,南亞,70.00,0.90,+1.30%,30248
2610.TW,華航,27069,3179,24.85,-0.35
2610.TW.TW,華航,-1.39%,62460,59486,2974
2854.TW,寶來證,16.35,0.00,0.00%,36816
1102.TW,亞泥,33892,2924,32.25,0.05
1102.TW.TW,亞泥,+0.16%,18638,15813,2825
1909.TW,榮成,13.40,0.65,+5.10%,20182
3481.TW,奇美電,17466,2716,41.80,0.05
3481.TW.TW,奇美電,+0.12%,36969,34344,2625
1314.TW,中石化,26.75,-0.05,-0.19%,40833
2317.TW,鴻海,38333,2500,118.00,-0.50
2317.TW.TW,鴻海,-0.42%,48754,46280,2474
2838.TW,聯邦銀,8.90,0.00,0.00%,3816
6116.TW,彩晶,1470,2346,6.15,-0.01
6116.TW.TW,彩晶,-0.16%,23372,21078,2294
1704.TW,榮化,64.80,1.70,+2.69%,15309
1444.TW,力麗,13242,2067,18.65,0.15
1444.TW.TW,力麗,+0.81%,31610,29618,1992
2329.TW,華泰,7.91,0.22,+2.86%,4773
2408.TW,南科,2790,1983,18.65,0.00
2408.TW.TW,南科,0.00%,16296,14374,1922
911611.TW,中泰山,13.20,-0.05,-0.38%,11786
1907.TW,永豐餘,9877,1909,15.75,0.25
1907.TW.TW,永豐餘,+1.61%,11203,9507,1696
1304.TW,臺聚,27.55,0.30,+1.10%,13535
1308.TW,亞聚,12056,1479,35.30,1.35
1308.TW.TW,亞聚,+3.98%,10750,9284,1466
911609.TW,揚子江,23.25,-0.25,-1.06%,27854
2345.TW,智邦,26499,1355,22.95,-0.25
2345.TW.TW,智邦,-1.08%,21474,20234,1240
4904.TW,遠傳,44.35,-0.05,-0.11%,11275
2448.TW,晶電,10038,1237,98.60,-1.20
2448.TW.TW,晶電,-1.20%,22466,21231,1235
2347.TW,聯強,74.60,1.40,+1.91%,15407
2357.TW,華碩,14191,1216,239.00,-7.00
2357.TW.TW,華碩,-2.85%,13020,11877,1143
4938.TW,和碩,41.55,0.90,+2.21%,25267
9904.TW,寶成,24128,1139,29.05,0.25
9904.TW.TW,寶成,+0.87%,20028,18957,1071
2383.TW,台光電,28.70,1.25,+4.55%,8354
1229.TW,聯華,7378,976,23.85,0.75
1229.TW.TW,聯華,+3.25%,21792,20819,973
1701.TW,中化,30.75,-0.40,-1.28%,8847
9945.TW,潤泰新,7918,929,50.20,-0.30
9945.TW.TW,潤泰新,-0.59%,7999,7118,881
3576.TW,新日光,75.10,0.30,+0.40%,11365
1536.TW,和大,10487,878,16.40,0.35
1536.TW.TW,和大,+2.18%,5334,4459,875
3311.TW,閎暉,92.80,-1.70,-1.80%,6468
2501.TW,國建,5626,842,17.35,0.05
2501.TW.TW,國建,+0.29%,10529,9693,836
