2313.TW,華通,10.25,-0.10,-0.97%,-31983
2882.TW,國泰金,47.40,0.25,+0.53%,-30770
2371.TW,大同,7.34,-0.11,-1.48%,-28977
2801.TW,彰銀,20.70,-0.10,-0.48%,-24714
3037.TW,欣興,48.55,0.35,+0.73%,-22525
2881.TW,富邦金,38.00,0.05,+0.13%,-19286
2454.TW,聯發科,393.00,-2.00,-0.51%,-15986
2409.TW,友達,30.75,0.75,+2.50%,-14551
3474.TW,華亞科,14.90,0.05,+0.34%,-13862
2002.TW,中鋼,31.25,0.15,+0.48%,-13468
2887.TW,台新金,13.70,0.15,+1.11%,-13420
2303.TW,聯電,13.85,0.00,0.00%,-12796
1605.TW,華新,18.90,-0.25,-1.31%,-12038
2823.TW,中壽,24.85,-0.10,-0.40%,-11599
3702.TW,大聯大,58.70,0.70,+1.21%,-10079
2201.TW,裕隆,61.60,1.10,+1.82%,-9839
4938.TW,和碩,41.55,0.90,+2.21%,-9096
6005.TW,群益證,14.00,-0.05,-0.36%,-7958
910579.TW,歐聖,11.80,0.15,+1.29%,-7940
2312.TW,金寶,10.75,-0.05,-0.46%,-7838
2834.TW,台企銀,10.40,0.05,+0.48%,-7641
2385.TW,群光,69.90,-1.20,-1.69%,-7438
2324.TW,仁寶,38.45,0.10,+0.26%,-7221
2020.TW,美亞,26.40,0.00,0.00%,-6893
2888.TW,新光金,11.30,-0.05,-0.44%,-6791
2610.TW,華航,24.85,-0.35,-1.39%,-6581
2880.TW,華南金,20.15,0.00,0.00%,-6552
9907.TW,統一實,16.25,-0.05,-0.31%,-6446
3043.TW,科風,61.20,-0.80,-1.29%,-5716
2609.TW,陽明,21.70,-0.30,-1.36%,-5321
2511.TW,太子,22.80,-0.35,-1.51%,-5275
2820.TW,華票,9.06,-0.05,-0.55%,-5247
2352.TW,佳世達,22.00,0.25,+1.15%,-4969
3514.TW,昱晶,88.60,3.10,+3.63%,-4794
1504.TW,東元,19.80,0.10,+0.51%,-4646
2022.TW,聚亨,7.75,-0.02,-0.26%,-4588
2883.TW,開發金,9.13,0.07,+0.77%,-4549
2498.TW,宏達電,676.00,5.00,+0.75%,-4538
1905.TW,華紙,17.65,-0.05,-0.28%,-4464
6120.TW,輔祥,30.75,-0.40,-1.28%,-4223
2618.TW,長榮航,31.80,0.25,+0.79%,-3970
1312.TW,國喬,17.90,1.05,+6.23%,-3758
2457.TW,飛宏,59.60,-0.40,-0.67%,-3628
2023.TW,燁輝,11.20,-0.05,-0.44%,-3599
2456.TW,奇力新,28.65,0.20,+0.70%,-3553
2379.TW,瑞昱,71.90,-0.40,-0.55%,-3439
2353.TW,宏碁,87.70,0.60,+0.69%,-3437
1313.TW,聯成,24.20,0.00,0.00%,-3335
3534.TW,雷凌,115.00,0.50,+0.44%,-3227
1218.TW,泰山,19.00,0.65,+3.54%,-3209
