2820.TW,華票,9.06,-0.05,-0.55%,7525
2303.TW,聯電,145,7380,13.85,0.00
2303.TW.TW,聯電,0.00%,12019,6640,5379
1312.TW,國喬,17.90,1.05,+6.23%,14498
3037.TW,欣興,9146,5352,48.55,0.35
3037.TW.TW,欣興,+0.73%,9337,4610,4727
2801.TW,彰銀,20.70,-0.10,-0.48%,14569
2353.TW,宏碁,10730,3839,87.70,0.60
2353.TW.TW,宏碁,+0.69%,7719,4175,3543
9907.TW,統一實,16.25,-0.05,-0.31%,7538
5854.TW,合庫,4046,3492,22.40,0.10
5854.TW.TW,合庫,+0.45%,9692,6220,3471
1218.TW,泰山,19.00,0.65,+3.54%,3443
2409.TW,友達,163,3280,30.75,0.75
2409.TW.TW,友達,+2.50%,21233,18028,3205
6012.TW,金鼎證,12.25,0.00,0.00%,3153
2317.TW,鴻海,0,3153,118.00,-0.50
2317.TW.TW,鴻海,-0.42%,8697,5556,3140
2474.TW,可成,82.10,-0.40,-0.48%,6486
3231.TW,緯創,3497,2989,60.10,-0.90
3231.TW.TW,緯創,-1.48%,3680,803,2877
1905.TW,華紙,17.65,-0.05,-0.28%,5730
2449.TW,京元電,3186,2544,14.00,0.35
2449.TW.TW,京元電,+2.56%,4256,1779,2477
3035.TW,智原,60.40,-0.20,-0.33%,4974
1447.TW,力鵬,2592,2382,16.75,0.25
1447.TW.TW,力鵬,+1.52%,6606,4255,2351
2325.TW,矽品,33.50,1.15,+3.55%,3883
2392.TW,正崴,1592,2291,63.80,-0.60
2392.TW.TW,正崴,-0.93%,3443,1270,2172
2889.TW,國票金,9.80,-0.05,-0.51%,2879
2880.TW,華南金,713,2165,20.15,0.00
2880.TW.TW,華南金,0.00%,3574,1445,2128
3481.TW,奇美電,41.80,0.05,+0.12%,14384
2315.TW,神達,12269,2115,13.80,-0.20
2315.TW.TW,神達,-1.43%,3569,1523,2045
2882.TW,國泰金,47.40,0.25,+0.53%,6280
2330.TW,台積電,4284,1995,62.30,0.30
2330.TW.TW,台積電,+0.48%,6324,4344,1980
1210.TW,大成,32.85,1.85,+5.97%,3734
2382.TW,廣達,1843,1890,55.20,-0.50
2382.TW.TW,廣達,-0.90%,3289,1400,1889
2105.TW,正新,71.80,0.40,+0.56%,5830
2834.TW,台企銀,3959,1871,10.40,0.05
2834.TW.TW,台企銀,+0.48%,17549,15721,1828
1504.TW,東元,19.80,0.10,+0.51%,8555
2511.TW,太子,6729,1826,22.80,-0.35
2511.TW.TW,太子,-1.51%,5089,3413,1676
2384.TW,勝華,52.30,0.20,+0.38%,18206
1326.TW,臺化,16561,1644,88.80,2.50
1326.TW.TW,臺化,+2.90%,3214,1614,1600
6282.TW,康舒,27.70,-0.25,-0.89%,6185
2020.TW,美亞,4652,1533,26.40,0.00
2020.TW.TW,美亞,0.00%,1728,212,1516
2385.TW,群光,69.90,-1.20,-1.69%,5491
2352.TW,佳世達,4147,1344,22.00,0.25
2352.TW.TW,佳世達,+1.15%,3963,2643,1320
9105.TW,泰金寶,5.10,0.00,0.00%,2504
2316.TW,楠梓電,1192,1312,18.45,0.15
2316.TW.TW,楠梓電,+0.82%,1836,576,1260
2845.TW,遠東銀,13.80,0.00,0.00%,1549
1301.TW,臺塑,352,1197,90.00,3.10
1301.TW.TW,臺塑,+3.57%,2422,1290,1132
1416.TW,廣豐,13.75,-0.15,-1.08%,1353
2327.TW,國巨,255,1098,12.90,-0.15
2327.TW.TW,國巨,-1.15%,9766,8711,1055
1717.TW,長興,35.15,0.35,+1.01%,2720
2363.TW,矽統,1692,1028,19.45,-0.25
2363.TW.TW,矽統,-1.27%,2598,1613,985
6120.TW,輔祥,30.75,-0.40,-1.28%,2548
2915.TW,潤泰全,1569,979,87.70,-1.50
2915.TW.TW,潤泰全,-1.68%,1886,915,971
2891.TW,中信金,19.90,-0.05,-0.25%,10932
1310.TW,台苯,9972,959,15.25,0.45
1310.TW.TW,台苯,+3.04%,4423,3495,928
