2603.TW,長榮,24.75,-0.05,-0.20%,-7998
1902.TW,臺紙,20.05,1.05,+5.53%,-5099
2618.TW,長榮航,31.80,0.25,+0.79%,-4277
3045.TW,台灣大,67.30,0.50,+0.75%,-3823
911610.TW,聯環,19.05,1.20,+6.72%,-3163
1313.TW,聯成,24.20,0.00,0.00%,-3119
2504.TW,國產,16.35,0.25,+1.55%,-2622
911608.TW,明輝,16.70,-0.10,-0.60%,-2507
2838.TW,聯邦銀,8.90,0.00,0.00%,-2348
1304.TW,臺聚,27.55,0.30,+1.10%,-2343
2329.TW,華泰,7.91,0.22,+2.86%,-2330
1402.TW,遠東新,46.90,1.30,+2.85%,-2234
911611.TW,中泰山,13.20,-0.05,-0.38%,-2138
1909.TW,榮成,13.40,0.65,+5.10%,-1886
1701.TW,中化,30.75,-0.40,-1.28%,-1664
3519.TW,綠能,90.30,-0.70,-0.77%,-1585
1444.TW,力麗,18.65,0.15,+0.81%,-1468
2890.TW,永豐金,11.55,-0.10,-0.86%,-1358
2610.TW,華航,24.85,-0.35,-1.39%,-1245
1737.TW,臺鹽,25.15,-0.20,-0.79%,-1001
2014.TW,中鴻,13.50,-0.25,-1.82%,-991
1513.TW,中興電,18.20,-0.15,-0.82%,-963
6197.TW,佳必琪,104.50,-7.50,-6.70%,-958
4904.TW,遠傳,44.35,-0.05,-0.11%,-918
1718.TW,中纖,14.95,0.05,+0.34%,-882
1531.TW,高林股,27.70,-0.05,-0.18%,-856
1536.TW,和大,16.40,0.35,+2.18%,-797
1102.TW,亞泥,32.25,0.05,+0.16%,-785
911609.TW,揚子江,23.25,-0.25,-1.06%,-744
1308.TW,亞聚,35.30,1.35,+3.98%,-717
1907.TW,永豐餘,15.75,0.25,+1.61%,-703
9938.TW,百和,34.70,0.25,+0.73%,-685
2457.TW,飛宏,59.60,-0.40,-0.67%,-680
2501.TW,國建,17.35,0.05,+0.29%,-680
3653.TW,健策,172.00,1.00,+0.58%,-610
1215.TW,卜蜂,19.45,0.35,+1.83%,-601
3080.TW,威力盟,31.85,-0.40,-1.24%,-572
1474.TW,弘裕,12.05,0.10,+0.84%,-550
1417.TW,嘉裕,11.85,-0.05,-0.42%,-529
1708.TW,東鹼,39.20,0.90,+2.35%,-523
2201.TW,裕隆,61.60,1.10,+1.82%,-501
1460.TW,宏遠,7.79,-0.01,-0.13%,-499
2227.TW,裕日車,148.50,9.50,+6.83%,-494
2484.TW,希華,18.90,-0.20,-1.05%,-485
2911.TW,麗嬰房,45.45,0.15,+0.33%,-481
9933.TW,中鼎,35.40,-0.25,-0.70%,-471
2887.TW,台新金,13.70,0.15,+1.11%,-470
2489.TW,瑞軒,26.25,0.30,+1.16%,-465
1710.TW,東聯,34.05,0.00,0.00%,-464
1234.TW,黑松,24.50,0.00,0.00%,-454
